resto_name,address,area,opening_hours,closing_hours,start_price,end_price,average_price,rating,type
Nasi Uduk OK,"Jl. Paus No.1, RT.1/RW.8, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,16.00,23.00,5000,20000,12500,4.4,PKL
Belut Khas Surabaya Rawamangun,"Jl. Layur No.13, RT.13/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,11.00,21.00,10000,30000,20000,4.4,PKL
Warung Sate Madura Cak Mamat,"21, Jl. Tenggiri No.18a, RT.4/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,04.00,23.00,6000,25000,15500,4.6,PKL
STEAKMENT,"Jl. Kayu Putih Raya No.18, RW.1, Kayu Putih, Kec. Pulo Gadung, Jakarta, Daerah Khusus Ibukota Jakarta 13210",Jakarta Timur,10.00,22.00,20000,500000,260000,4.8,Restoran
Resto Mutiara,"Jl. Mutiara No.22 4, RT.21/RW.6, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00,21.00,20000,100000,60000,4.4,Restoran
SHSD Sambel Hejo Sambel Dadak Rawamangun,"Jl. Cipinang Baru Utara No.35, RT.9/RW.3, Cipinang, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13240",Jakarta Timur,09.00,21.00,10000,100000,55000,4.5,Restoran
WARUNG PASTA Rawamangun,"Jl. Balai Pustaka Timur No.53 Blok D6, RT.5/RW.10, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,12.00,22.00,50000,150000,100000,4.3,Restoran
Lesehan Gurame Pemuda,"Jl. Pemuda No.77, RT.1/RW.8, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,9.30,21.00,20000,100000,60000,4.1,Restoran
Steak On Top Rawamangun,"Jl. Balai Pustaka No.6, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,11.00,22.00,20000,500000,260000,4.9,Restoran
Riung Tenda  -  Rawamangun,"Jl. Balai Pustaka Timur No.2, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",Jakarta Timur,10.00,22.00,20000,50000,35000,4.5,Restoran
