resto_name,address,area,opening_hours,closing_hours,start_price,end_price,average_price,rating,type
SLAB  -  Steak Lab,"Jl. Wijaya I No.64, RT.9/RW.5, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,11.30,21.00,200000,500000,350000,4.6,Restoran
Queens Head Jakarta,"Jl. Kemang Raya No.18C 11, RT.11/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,11.00,02.00,100000,200000,150000,4.5,Restoran
Soto Kudus Blok M,"Jl. Wijaya I No.44, RT.4/RW.5, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,07.30,21.00,10000,50000,30000,4.4,Restoran
Blue Jasmine,"Jl. Kyai Maja No.39, RT.12/RW.2, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120",Jakarta Selatan,11.00,22.00,100000,200000,150000,4.7,Restoran
Kashiwa,"Jl. Melawai VIII No.3, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.30,22.00,50000,100000,75000,4.4,Restoran
HAKA Dimsum Blok M,"Jl. Sultan Hasanuddin Dalam No.3, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,00.01,24.00,50000,100000,75000,4.4,Restoran
Le Quartier,"Jl. Gunawarman No.34, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,07.00,23.00,200000,500000,350000,4.6,Restoran
Waroeng Aceh Kemang,"Jl. Kemang Timur No.2, RT.6/RW.4, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",Jakarta Selatan,10.00,03.00,10000,50000,30000,4.5,Restoran
GIOI SENOPATI,"Jl. Senopati No.88, RT.7/RW.3, Selong, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",Jakarta Selatan,10.00,23.00,200000,500000,350000,4.6,Restoran
Nolda Pocha,"Jl. Melawai Raya No.166, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,15.00,00.00,50000,100000,75000,4.5,Restoran
Futago Ya,"Jl. Sultan Hasanuddin Dalam No.24, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,10.00,22.00,50000,100000,75000,4.5,Restoran
Echigoya Ramen,"Jl. Melawai VIII No.2A 3, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.30,22.00,50000,150000,100000,4.5,Restoran
Gultik Blok M Plaza Pak Agus Budi,"Jl. Bulungan No.40 6, RT.11/RW.6, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,17.00,02.00,10000,50000,30000,4.5,PKL
Lesehan Bu Pesek Blok M Square,"Jl. Melawai IV No.17 - 18 3, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,17.30,01.00,10000,50000,30000,4.2,PKL
Angkringan Blok M Square,"RT.3/RW.1, Melawai, Kebayoran Baru, South Jakarta City, Jakarta 12160",Jakarta Selatan,18.00,00.00,10000,50000,30000,4.5,PKL
Warung Taliwang Blok. M H. Jenk,"Jl. Panglima Polim, RT.1/RW.3, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,11.00,22.00,10000,50000,30000,4.7,PKL
Mie Ayam Pakde Min  -  Blok M,"4, RT.4/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,09.00,15.00,10000,50000,30000,4.7,PKL
Sopo Ngiro Japanese Food,"Jl. Panglima Polim No.46, RT.9/RW.7, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,18.00,01.00,10000,50000,30000,4,PKL
Roti Bakar Eddy Blok M,"Jl. Raden Patah No.11, RT.2/RW.1, Selong, Kec. Kby. Baru, Selatan, Daerah Khusus Ibukota Jakarta 12110",Jakarta Selatan,17.00,02.00,10000,50000,30000,4.3,PKL
Nasi Goreng Bhakti,"Jl. Bakti No.11 Blok S, RT.11/RW.1, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180",Jakarta Selatan,17.00,23.30,10000,50000,30000,4.3,PKL
Bubur Ayam Barito,"Jl. Gandaria Tengah III No.3, RT.3/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,15.30,00.00,10000,50000,30000,4.6,PKL
Sate Sambas,"Jl. Sungai Sambas I, RT.2/RW.5, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,17.00,24.00,10000,50000,30000,4.4,PKL
Seafood 68 Santa," Jl. Wolter Monginsidi No.58 2 4, RT.2/RW.4, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,17.30,24.00,50000,100000,75000,4.4,PKL
Bebek Goreng Pak Joko Putra,"Jl. Petogogan II No.23 8, RT.9/RW.6, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,16.00,23.30,10000,50000,30000,4.6,PKL
Sate Padang Ajo Ramon,"Pasar Santa, Area Parkir, Jl. Cipaku I No.5 2, RT.5/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,16.00,24.00,10000,50000,30000,4.6,PKL
Warung Nagih,"Jl. Kapten Tendean No.41 2 2, RT.2/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790",Jakarta Selatan,16.30,01.30,10000,50000,30000,4.3,PKL
Soto Jakarta Bang Madun,"Jl. Barito I No.2, RT.2/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,09.00,22.00,10000,50000,30000,4.3,PKL
R.M. Sepakat,"Jl. Melawai 9, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,10.00,15.30,10000,50000,30000,4.4,PKL
"Pecel Lele Si Doel, Empal goreng","Jl. Wijaya I No.28, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,17.00,00.00,10000,50000,30000,4.7,PKL
Mie Ayam Baso Dondon,"Blok M Square Lantai Basement, No.170, Pujasera Pintu M - M06, Jl. Melawai 5, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,10.00,20.00,10000,50000,30000,4.6,PKL
Warung Bu Vesti Barito,"Jl. Barito II No.4, RT.4/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,18.00,00.00,10000,50000,30000,4.7,PKL
Nikki Bakso Daging Sapi,"Jl. KH Abdullah Syafei No.11, RT.4/RW.1, Manggarai Sel., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",Jakarta Selatan,09.00,21.00,10000,50000,30000,4.5,PKL
1/15 Coffee Menteng,"Jl. Dr. Kusuma Atmaja No.79 10, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,07.00,21.00,100000,200000,150000,4.5,Café
Arborea Café,"Manggala Wanabakti complex, Jl. Gatot Subroto No.1, RT.1/RW.3, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270",Jakarta Pusat,11.00,21.00,50000,100000,75000,4.5,Café
Giyanti Coffee Roastery,"Jl. Surabaya No.20, RT.15/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,08.30,17.30,50000,100000,75000,4.6,Café
Common Grounds Coffee and Roastery CS,"Jl. KH Mas Mansyur, Citywalk Sudirman GF No.Kav. 121, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",Jakarta Pusat,08.00,20..00,100000,200000,150000,4.5,Café
Monolog Coffee Company Plaza Senayan,"Plaza Senayan Mall, Palm Gate Entrance, Jl. Asia Afrika No.8 CP 101 B, Gelora, Jakarta 10270",Jakarta Pusat,07.00,22.00,100000,200000,150000,4.6,Café
UNION Cafe Senayan City,"Senayan City, Lower Ground Floor, Jl. Asia Afrika No.19, RT.1/RW.3, Gelora, Central Jakarta City, Jakarta 10270",Jakarta Pusat,10.00,22.00,100000,200000,150000,4.6,Café
The Atjeh Connection Bendungan Hilir Raya,"RT.8/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,07.00,02.00,50000,100000,75000,4.4,Café
Gramasi Coffee,"Jl. Pegangsaan Timur No.7, RT.1/RW.1, Pegangsaan, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10330",Jakarta Pusat,08.00,20.00,10000,50000,30000,4.5,Café
Watt Coffee,"The Capitol Park, Apartment, Jl. Salemba Raya No.16, RT.3/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",Jakarta Pusat,09.00,21.00,50000,100000,75000,4.4,Café
Goedkoop,"Jl. Bendungan Hilir No.62, RT.5/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,07.30,22.00,50000,100000,75000,4.4,Café
Kafe Gamat Bendungan Hilir,"Jl. Danau Toba No.A49, RT.4/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,09.00,22.00,50000,100000,75000,4.5,Café
Maple And Oak,"Jl. HOS. Cokroaminoto No.91, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,07.00,22.00,100000,200000,150000,4.4,Café
Atap Rumah Cafe,"Jl. Penjernihan IV No.9 12, RT.4/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,09.00,22.00,50000,100000,75000,4.4,Café
ST ALi Jakarta,"Setiabudi Building One 2 GF - 103A Jalan Hr. Rasuna Said Blok Kav. 62 Setiabudi, RT.6/RW.7, Karet Kuningan, Daerah Khusus Ibukota Jakarta 12950",Jakarta Pusat,07.00,21.00,100000,200000,150000,4.4,Café
Kopi Nako Daur Baur,"Senayan Park, Jl. Gerbang Pemuda No.3 LG - 59, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Jakarta Pusat,07.00,23.00,50000,100000,75000,4.7,Café
Djournal Coffee,"Grand Indonesia West Mall Ground Floor Lobby Pandawa, Jl M.H Thamrin No 1, Kebon Melati, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,09.00,22.00,50000,100000,75000,4.5,Café
The Acre,"Jl. HOS. Cokroaminoto No.100, RT.2/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,07.00,23.00,15000,250000,132500,4.7,Café
Titik Temu Cafe  -  Sarinah,"Jl. M. H. Thamrin. 11 Lt 1 Unit 04 - 04A, Gondangdia, Kec. Menteng, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,08.00,01.00,100000,200000,150000,4.6,Café
Mattea Social Space  -  Cempaka Putih,"Jl. Rawasari Bar. I No.35, RT.7/RW.1, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",Jakarta Pusat,08.00,24.00,50000,100000,75000,4.5,Café
Amuya Cafe Kemayoran,"Gedung Graha Kana, Jl. Angkasa 1 No.Kav.4 Blok B16, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",Jakarta Pusat,08.00,20.00,50000,100000,75000,4.8,Café
Exquise Patisserie  -  Menteng,"Jl. HOS. Cokroaminoto No.42A, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,08.00,21.00,100000,200000,150000,4.5,Bakery
Dream Dates Bakery & Coffee,"Jl. K.H. Wahid Hasyim No.37, RT.1/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,07.00,22.00,50000,100000,75000,4.4,Bakery
Kempi Deli,"Jl. M.H. Thamrin No.1 1A, RT.1/RW.5, Menteng, Central Jakarta City, Jakarta 10310",Jakarta Pusat,08.30,22.00,100000,200000,150000,4.6,Bakery
Maison Weiner Cake Shop,"Jl. Kramat II No.2 6, RT.6/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",Jakarta Pusat,07.00,18.00,50000,100000,75000,4.6,Bakery
Canggu Bakehouse Sarinah,"Sarinah, Jl. M.H. Thamrin, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,10.00,22.00,50000,100000,75000,4.9,Bakery
Caramia Bakery,"Jl. Ir. H. Juanda 3 No.31, RT.9/RW.2, Kebon Kelapa, Gambir, Central Jakarta City, Jakarta 10120",Jakarta Pusat,06.00,20.00,50000,100000,75000,4.5,Bakery
Sakura Anpan Cake Shop,"Jl. H. Agus Salim No.25 A, RT.003/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,06.00,17.30,50000,100000,75000,4.4,Bakery
Sari Sari  -  Aneka Kue Jajan Pasar,"Jl. M.H. Thamrin No.11 Gedung Sarinah, Lantai Basement Unit B - 06a, Jakarta 10350",Jakarta Pusat,09.00,22.00,50000,100000,75000,4.5,Bakery
Kallis Bakery,"Jl. M.H. Thamrin No.Kav. 28 - 30, RT.9/RW.5, Gondangdia, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,10.00,22.00,50000,100000,75000,4.9,Bakery
Bistro Bakery,"GF, 12 , Metro Atom Plaza , JL. KH. Samanhudi , Pasar Baru, Sawah Besar, 10710 Jakarta Pusat, DKI Jakarta, RT.3/RW.6, Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710",Jakarta Pusat,07.00,17.00,50000,100000,75000,4.7,Bakery
Bonjour Grande,"Grand Indonesia Mall, Lantai Lower Ground, West Mall, The FoodHall Jl. MH Thamrin, Thamrin, Jakarta Pusat",Jakarta Pusat,10.00,20.00,50000,100000,75000,4.7,Bakery
Rokue Snack,"Jl. Batu Tulis Raya No. 22C, Pecenongan, Jakarta Pusat",Jakarta Pusat,07.00,16.00,50000,100000,75000,4.7,Bakery
Chicory European Patisserie,"Jl. Sumenep No. 9, Menteng, Jakarta Pusat",Jakarta Pusat,07.00,21.00,100000,200000,150000,4.5,Bakery
Euphoria,"Jl. Cimandiri No. 1C, Cikini, Menteng, Jakarta Pusat",Jakarta Pusat,09.30,17.30,50000,100000,75000,4.9,Bakery
PEPeNERO Bakery,"Menara Astra, Lantai 3, Zest Jl. Jenderal Sudirman Kav. 5  -  6, Sudirman, Jakarta Pusat",Jakarta Pusat,08.00,19.00,50000,100000,75000,5,Bakery
Dough Lab ,"Grand Indonesia Mall, Lantai Lower Ground, West Mall Jl. MH Thamrin, Thamrin, Jakarta Pusat",Jakarta Pusat,10.00,20.00,50000,100000,75000,4.4,Bakery
Chateraise,"Grand Indonesia Mall, Lantai 3A, East Mall Jl. MH Thamrin, Thamrin, Jakarta Pusat",Jakarta Pusat,10.00,20.00,50000,100000,75000,4.4,Bakery
Fragments,"Grand Indonesia Mall, Lantai Ground, East Mall Jl. MH Thamrin, Thamrin, Jakarta Pusat",Jakarta Pusat,10.00,20.00,50000,100000,75000,4.7,Bakery
Donat Sarinah,"Gedung Sarinah, Lantai Lower Ground Jl. MH Thamrin, Thamrin, Jakarta Pusat",Jakarta Pusat,10.00,20.00,50000,100000,75000,4.7,Bakery
Butter Monster,"l. AM Sangaji No. 15A, Gambir, Jakarta Pusat",Jakarta Pusat,08.00,22.00,50000,100000,75000,4,Bakery
Bubur Kwang Tung,"Jl. Pecenongan No.67I, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,00.01,24.00,50000,100000,75000,4.5,Restoran
Rumah Makan Adem Ayem,"Jl. A.M Sangaji No.27, RT.2/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",Jakarta Pusat,09.00,20.00,50000,100000,75000,4.5,Restoran
Happy Day Juanda,"Jl. Ir. H. Juanda No.19 14, RT.14/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,10.00,22.00,50000,100000,75000,4.4,Restoran
KINGS CAFE JAKARTA,"11, Jl. Tanah Abang I No.11, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",Jakarta Pusat,00.01,24.00,50000,100000,75000,4.7,Restoran
Joni Steak,"Jl. Samanhudi No.65, RT.8/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",Jakarta Pusat,11.00,23.00,50000,100000,75000,4.5,Restoran
Lee Palace Chinese Restaurant,"HXC (Harmonie Exchange, Hayam Wuruk St No.6 4th Floor, RT.6/RW.2, Kebon Kelapa, Gambir, Central Jakarta City, Jakarta 10120",Jakarta Pusat,10.00,21.00,100000,200000,150000,4.5,Restoran
Kaum Jakarta,"Jl. Dr. Kusuma Atmaja No.77, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,11.00,21.00,200000,500000,350000,4.6,Restoran
Restoran Beautika Khas Manado  -  Abdul Muis,"Jl. Abdul Muis No.70 4, RT.4/RW.3, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",Jakarta Pusat,08.00,20.00,100000,200000,150000,4.5,Restoran
Ikan Bakar Cianjur,"Jl. Batu Tulis XV No.39, RT.3/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,10.00,22.00,100000,200000,150000,4.5,Restoran
Al Jazeerah Signature Restaurant & Lounge,"Jl. Johar No.8, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,10.00,24.00,100000,200000,150000,4.5,Restoran
Seribu Rasa Menteng,"Jl. H. Agus Salim No.128, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,11.00,22.00,100000,200000,150000,4.6,Restoran
Midori Japanese Restaurant Menteng,"Jl. K.H. Wahid Hasyim No.106, RT.14/RW.3, Kb. Sirih, Kec. Menteng, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,10.00,22.00,100000,200000,150000,4.6,Restoran
OSO Ristorante Indonesia,"The Plaza Office Tower, Jl. M.H. Thamrin No.28  -  30, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,12.00,22.00,200000,500000,350000,4.6,Restoran
"Sate & Seafood Senayan, Kebon Sirih","Jl. Kebon Sirih No.31A 1, RT.15/RW.5, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,07.00,21.00,50000,100000,75000,4.4,Restoran
Restaurant Rendezvous  -  Kebon Sirih,"Jalan Johar No.2B - C, RT.18/RW.6, Kb. Sirih, Kec. Menteng, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,10.30,21.00,100000,200000,150000,4.5,Restoran
Bungarampai,"Jl. Teuku Cik Ditiro No.35 10, RT.10/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,11.00,21.00,100000,200000,150000,4.8,Restoran
Steak Hotel by Holycow!,"Gedung Sinergi 8, Jl. Kebon Sirih No.48 Unit GF 03, RT.11/RW.2, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,10.00,22.00,100000,200000,150000,4.5,Restoran
Dua Nyonya Restaurant,"Jl. Cikini Raya No.27, RT.16/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Jakarta Pusat,07.00,23.00,50000,100000,75000,4.6,Restoran
Roemah Kuliner,"Jl. Pangeran Diponegoro No.21, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",Jakarta Pusat,11.00,21.30,50000,100000,75000,4.4,Restoran
Claypot Popo Sabang,"Jl. H. Agus Salim No.2 23B, RT.1/RW.1, Kebon Sirih, Menteng, Central Jakarta City, Jakarta 10340",Jakarta Pusat,11.00,20.30,50000,100000,75000,4.5,Restoran
Sea Food 89,"Jl. A.M Sangaji No.46, RT.2/RW.6, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",Jakarta Pusat,17.00,24.00,50000,100000,75000,4.7,PKL
Bakmi Ayam Alok,"Jl. KH. Hasyim Ashari No.26 3, RT.3/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",Jakarta Pusat,06.30,14.00,50000,100000,75000,4.7,PKL
Nasi Goreng Kambing Kebon Sirih Sejak 1958  -  Kebon Sirih Kaki Lima,"Jl. Kebon Sirih No.3, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,16.00,24.00,50000,100000,75000,4.4,PKL
Soto Kudus Ayam Kampung Kembang Joyo,"Jl. H. Agus Salim No.30A 2, RT.1/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,08.00,21.00,10000,50000,30000,4.4,PKL
Ayam Afrika,"Jl. Kb. Sirih Tim. Dalam No.02 3, RT.6/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,08.00,03.00,10000,50000,30000,4.5,PKL
Nasi Gandul Khas Pati,"2, Jl. H. Agus Salim No.30 B, RT.1/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,09.00,21.00,10000,50000,30000,4.4,PKL
Bopet Mini Benhil,"Jl. Bendungan Hilir No.Kav. 1A, RT.11/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,06.00,19.00,10000,50000,30000,4.6,PKL
TanSu Kemayoran,"Jl. Garuda No.11, RT.11/RW.8, Ujung, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",Jakarta Pusat,00.01,24.00,10000,50000,30000,4.6,PKL
Soto Betawi H. Ma'ruf,"Jl. RP. Soeroso No.36A 2, RT.2/RW.13, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,09.30,20.30,50000,100000,75000,4.1,PKL
Kedai Zainal Fanani 1967 Kebon Kacang,"Jl. Kb. Kacang 8 No.5, RT.1/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",Jakarta Pusat,10.00,24.00,10000,50000,30000,4.2,PKL
Mie Ayam Gondangdia,"Jl. RP. Soeroso No.36, RT.15/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,09.00,21.00,10000,50000,30000,4.3,PKL
Rumah Makan Pa Nam,"Jl. Melati No.12, RT.11/RW.1, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",Jakarta Pusat,10.00,21.00,50000,100000,75000,4.4,PKL
Chinese Food & Sea Food Remaja,"Jl. Sukarjo Wiryopranoto No. 2B, RT.2/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,10.00,21.00,50000,100000,75000,4.4,PKL
Mie Alip,"Jl. Sukarjo Wiryopranoto No.20C 1, RT.1/RW.1, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,06.00,15.00,10000,50000,30000,4.5,PKL
Sate Babi Krekot,"Jl. Pecenongan No.1, RT.1/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,18.00,00.00,50000,100000,75000,4.4,PKL
Martabak Pecenongan 65A,"Jl. Pecenongan Raya No.65A 9, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",Jakarta Pusat,18.00,00.00,50000,100000,75000,4.5,PKL
Bakmi A Boen,"Jl Belakang Kongsi No 16 Rt 001/003, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",Jakarta Pusat,07.00,20.00,10000,50000,30000,4.5,PKL
Bakso Metro,"Jl. Krekot Bunder Raya No.4, RT.3/RW.6, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",Jakarta Pusat,08.00,18.30,10000,50000,30000,4.6,PKL
Bakso Rusuk Samanhudi,"Jl. Samanhudi No.18d, RT.1/RW.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",Jakarta Pusat,00.01,24.00,10000,50000,30000,4.5,PKL
